can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"SANTARSIERO, STEVEN J",H,PA,DEM,OPEN,1674614.41,237872.63,1912487.04,6550.02,500222.36,2422209.88,2468129.39,2273843.52,7521.54,100,2321465.06,,146664.33,2414688.34,2268293.52,
"SANTIAGO, DAVID",H,FL,REP,CHALLENGER,120675.47,6935,127610.47,,30000,157610.47,157610.47,104305.31,8100,,112405.31,,45205.16,149510.47,104305.31,
"SANTORUM, RICHARD J.",P,US,REP,OPEN,1067500,305788,1373287.19,,7350,1380637.19,1858380.94,1828010.55,14161.07,,1849450.62,19180.37,28110.69,9549878.57,14156209.75,
"SANYAL, ARUNAVA RON""""",H,NC,DEM,CHALLENGER,318,,1075,,,10975,10975,11219,,250,11469,,27,10975,11219,
"SARBANES, JOHN P. MR.",H,MD,DEM,INCUMBENT,923450.52,,923450.52,,,923450.52,923626.94,533375.46,1500,87822,622697.46,747939.17,1048868.65,921950.52,533199.04,Y
"SAVARY, SUZANNE JOYCE",H,CA,DEM,CHALLENGER,62785,24350.08,87135.08,,12950,100085.08,100085.08,63930.75,100,1275.16,65305.91,,28764.17,99985.08,63930.75,
"SAVITT, MARC",H,WV,REP,CHALLENGER,19457.74,7419,26876.74,,500,39106.5,39106.5,39106.46,,,39106.46,,,39106.5,39106.46,
"SBAIH, JESSE",H,NV,DEM,OPEN,209565,11313.77,220878.77,,,266831.88,772671.68,239435.68,28650,4586,772671.68,,,238181.88,233595.88,
"SCALISE, STEVE MR.",H,LA,REP,INCUMBENT,421165,8938.21,430103.21,,438849.86,868953.07,3378975.05,2459809.06,5000,188000,3406764.06,482793.91,455004.9,863953.07,2449513.59,Y
"SCHAEFER, J MICHAEL",H,NV,DEM,CHALLENGER,,,,,,,41501,,,,41501,,,,,
"SCHAKOWSKY, JANICE D",H,IL,DEM,INCUMBENT,763648.15,190378.71,954026.86,500,357100,1311626.86,1324805.25,886359.61,6682.22,300078,1193119.83,280530.98,412216.4,1304944.64,884011.59,Y
"SCHATZ, BRIAN",S,HI,DEM,INCUMBENT,1992275,135472,2127749,,1491138,3618888,3677300,1862591,41341,545339,2449275,953877,2181901,3577544,1834889,Y
"SCHIESS, JOHN T",P,US,REP,OPEN,,,,,,,,12333,,,3250,,,,,
"SCHIFF, ADAM",H,CA,DEM,INCUMBENT,420198.96,49950.61,470149.57,,418670,888819.57,898081.47,619052.12,500,277704.39,897256.51,2104594.56,2105419.52,888319.57,616081.11,Y
"SCHNACKENBERG, MATTHEW JOHN",H,FL,LIB,OPEN,656,302,958,,,1611,1611,1236,,37,1274,,327,1611,1236,
"SCHNEIDER, BRADLEY SCOTT",H,IL,DEM,CHALLENGER,2664425.79,976263.46,3640689.25,5000,626152.43,4277241.68,4415864.47,4193582.26,75905.92,885,4270373.18,2467.29,147958.58,4201335.76,4185389.16,Y
"SCHNEIDER, HELENE",H,CA,DEM,OPEN,579818.42,57519.68,637338.1,,15750,653088.1,667766.05,565785.05,97301,4680,667766.05,,,555787.1,565785.05,
"SCHNEIDER, JAN",H,FL,DEM,CHALLENGER,37216.05,4048,41264.05,100,,43424.65,69424.65,39902.34,,,39902.34,714.53,30236.84,43424.65,39902.34,
"SCHOTT, LYNN",H,CA,REP,OPEN,25999,3319,29318,,5900,96984.3,143586.35,98286.35,400,,143586.35,,,96584.3,96584.3,
"SCHRADER, KURT",H,OR,DEM,INCUMBENT,407762.15,49753.83,457515.98,34.94,1266028.88,1723579.8,1788129.51,1173019.09,1510,45750,1459029.09,861627.22,1190727.64,1722069.8,1109359.39,Y
"SCHREY, ELIZABETH ANNE",H,FL,NPA,OPEN,15,,15,,,213,213,212,,,212,,,213,212,
"SCHRINER, JOSEPH CHARLES",P,US,UNK,OPEN,2200,365,365,,,8095,8095,8040,,,8085,,10,,,
"SCHRODE, ERIN AZARIA",H,CA,DEM,CHALLENGER,37820,20256.5,58076.5,207,,58283.5,58283.5,47617.72,,11461.83,59079.55,,-26515.78,58283.5,47617.72,
"SCHULTZ, DEBBIE WASSERMAN",H,FL,DEM,INCUMBENT,1880590.75,879480.03,2760070.78,,804564.47,3564635.25,3881686.45,3623710.93,13850.19,218882.24,3856443.36,362511.92,387755.01,3550785.06,3615286.48,Y
"SCHUMER, CHARLES E",S,NY,DEM,INCUMBENT,13202946,157540,13360488,,3338553,16699042,17182232,6930459,252025,6284959,13467448,13409983,17124766,16447014,6930401,Y
"SCHWARTZ, GAIL SHERIDAN MS.",H,CO,DEM,CHALLENGER,962958.04,211403.05,1174361.09,5593.98,319118.52,1502041.29,1502278.82,1096940.27,10915,266500,1374355.27,,127923.55,1491126.29,1096702.74,
"SCHWEIKERT, DAVID",H,AZ,REP,INCUMBENT,160035,15406.84,175441.84,,324050,499491.84,749649.98,285981.87,,241450,722431.87,37475.5,64693.61,499491.84,285981.87,Y
"SCOTT, BOBBY L.",H,GA,REP,CHALLENGER,250,,250,,,250,135250,53790.34,,,135250,,,250,53790.34,
"SCOTT, DAVID ALBERT",H,GA,DEM,INCUMBENT,172310.2,3051.6,175361.8,,1017856.36,1193218.16,1205690.96,772723.14,10500,79493.27,862716.41,52858.09,395832.64,1182718.16,767753.67,Y
"SCOTT, ELIZABETH",H,WA,REP,CHALLENGER,106676.24,45323.23,151999.47,,,152770.19,152779.07,130741.74,11645,,142386.74,,10392.33,141125.19,130741.74,
"SCOTT, JAMES AUSTIN",H,GA,REP,INCUMBENT,296491.25,13645.1,310136.35,250,637942.26,948328.61,951504.31,715867.11,,237550,958417.11,462598.92,455686.12,948328.61,712691.41,Y
"SCOTT, ROBERT C.",H,VA,DEM,INCUMBENT,129034.17,31082.88,160117.05,,501400,661517.05,665302.05,426252.69,113.46,151250,577616.15,99952.54,189576.53,661403.59,422472.69,Y
"SCOTT, TIMOTHY E",S,SC,REP,INCUMBENT,2979957,95573,3075532.8,449200,2730039,5805575,5942528,3697537,53102,248425,3999064,2480147,4423612,5752473,3591295,Y
"SCROGGIE, JEREMY",P,US,IND,OPEN,674,20,694,,,694,10594,3742.33,,,6683.33,-1845.33,415,694,5587.66,
"SCUPIN, MICHAEL LEE",H,GA,REP,CHALLENGER,5630,5196.2,10826.2,,,11076.2,11339.39,10918.18,,421.21,11339.39,,,11076.2,10654.99,
"SCURRY-SMITH, GLOREATHA (GLO)",H,FL,REP,CHALLENGER,41676.6,9454,51130.6,2190,900,54265.76,54631.56,49614.16,,,49614.16,,5117.4,54265.76,49613.36,
"SEAMAN, JACK",H,ND,LIB,CHALLENGER,1800,730,2530,,,2530,2530,2546.2,,,2546.2,16,,2530,2546.2,
"SEAY, BOB",H,CO,DEM,CHALLENGER,25498.21,21303.57,46801.78,9000,900,57223.37,62523.37,52068.44,,2706.29,54774.73,,11256.35,57223.37,52068.44,
"SENSENBRENNER, F. JAMES JR.",H,WI,REP,INCUMBENT,141184.99,34268.16,175453.15,2000,187750,365203.15,365556.2,265824.16,,4000,269824.16,393925.71,489657.75,365203.15,265824.16,Y
"SERRANO, JOSE E.",H,NY,DEM,INCUMBENT,65600.51,3591.42,69191.93,,179200,248391.93,248391.93,215071.81,,33694.58,248766.39,43001.87,42627.41,248391.93,215071.81,Y
"SESSIONS, PETE MR.",H,TX,REP,INCUMBENT,1054497.97,18118.92,1072616.89,,1201346.56,2273963.45,2289329.64,2123280.73,4000,198575,2325855.73,670676.43,634150.34,2269963.45,2115314.38,Y
"SESTAK, JOSEPH A JR",S,PA,DEM,CHALLENGER,2307553,580545,2888101,1041,34536,2923680,2929719,3767976,677934,,4445912,1538695,22502,2245747,3762609,
"SEWELL, TERRYCINA ANDREA",H,AL,DEM,INCUMBENT,311782.5,18997.69,330780.19,,1184600,1515380.19,1518754.95,600919.83,6400,132296.99,999826.82,421463.72,940391.85,1508980.19,597591.8,Y
"SHABAN, JOHN T",H,CT,REP,CHALLENGER,102595,29294,131889,300,2000,134189,134197.19,118427.29,,,118427.29,8053.18,23823.08,134189,118427.29,
"SHAMMAS, JOSEPH IVARO",H,CA,DEM,CHALLENGER,3500,5056.89,8556.89,,,8556.89,43498.27,43498.27,,,43498.27,,,8556.89,43498.27,
"SHEA-PORTER, CAROL",H,NH,DEM,CHALLENGER,604948.77,297876.27,902825.04,5000,401191.3,1309016.34,1319557.31,1027139.4,12015,8934,1048088.4,20631.63,292100.54,1297001.34,1016598.5,Y
"SHEKARI, MELODY",H,TN,DEM,CHALLENGER,51490,23966.03,75456.03,,500,85167.43,95167.43,61052.69,,180,61232.69,,33934.74,85167.43,61052.69,
"SHELBY, RICHARD C",S,AL,REP,INCUMBENT,1641086,10455,1651541,,1539350,3190891,3382935,11425446,8300,38500,11472246,18055430,9966120,3182591,11418186,Y
"SHELDON, STEPHEN MARC",H,CO,DEM,CHALLENGER,17200,845,18045,,,18450,18450,7383,11060,,18443,,5,7390,7383,
"SHEPARD, JACK EDWARD",P,US,DEM,OPEN,,,,,,,20000,153,,153,,4500,19846,,153,
"SHEPHERD, DOUG",H,CA,REP,CHALLENGER,60775,11119,71894,,8100,90994,214494,207173.37,70,1725,208968.37,,5525.63,90924,206673.37,
"SHEPHERD, RICK",H,NV,DEM,CHALLENGER,2450,1844.09,4294.09,,,8751.29,8754.29,6772.62,,,6772.62,1298.65,4468.56,8751.29,6769.62,
"SHERIDAN, TIMOTHY J",H,CA,DEM,CHALLENGER,38135.97,26180.67,64316.64,350,47000,116211.19,137042.45,102266.68,,-626.35,101640.33,19084.44,54486.56,116211.19,102266.68,
"SHERMAN, BRAD",H,CA,DEM,INCUMBENT,761469.13,7766.33,769235.46,,658050,1427285.46,1441053.78,348111.96,149,22321.96,470582.92,237122.36,1207593.22,1427136.46,344111.96,Y
"SHERMAN, JEFFERSON WOODSON",P,US,REP,OPEN,1955,,1955,,,18873,18873,15058,,60,18873,,,,,
"SHERZAN, MIKE",H,IA,DEM,CHALLENGER,49838,8410,58248,,,90033.08,891645.58,882245.58,5500,2500,891645.58,,,84533.08,882133.08,
"SHEWBERT, DUSTIN RYAN MR SR",P,US,REP,OPEN,,,,,,,,,,,,,,,,
"SHIMKUS, JOHN M",H,IL,REP,INCUMBENT,573930.68,90698.38,664629.06,250,2380241.58,3045120.64,3052616.56,2754410.43,5600,513976,3273986.43,1026835.91,805466.04,3039520.64,2752128.96,Y
"SHKRELI, SUZANNA",H,MI,DEM,CHALLENGER,317619.41,150232.06,467851.47,15260.83,85000,568112.3,576612.3,509455.43,360.85,,509816.28,,66796.02,567751.45,509455.43,
"SHO, MUHAMMAD",P,US,UNK,OPEN,,,,,,760,1010,605,,,830,,,,,
"SHOAF, FARREN KENT",H,NC,REP,CHALLENGER,6650,,,,,14956,14956,14956,,,14956,,,14956,14956,
"SHORT, BRYON HALL",H,DE,DEM,OPEN,161385.41,31447.44,192832.85,,32400,225232.85,235712.85,139531.12,66765,,210296.12,,25416.73,158467.85,133051.12,
"SHREFFLER, DOUG",P,US,DEM,OPEN,,,,,,,,30227.46,,,30227.46,,-8765.32,,35860.14,
"SHUDOFSKY, ARYEH",H,MD,REP,OPEN,30668.35,8309,38977.35,,,40977.35,40977.35,40925.88,,,40925.88,,51.47,40977.35,40925.88,
"SHUSTER, WILLIAM MR.",H,PA,REP,INCUMBENT,1460169.09,23793.47,1483962.56,250,2224229.55,3708442.11,3721975.05,3026396.6,4150,509983.6,3540530.2,415297.62,596742.47,3704292.11,3019946.99,Y
"SIDIE, JAY",H,KS,DEM,CHALLENGER,190630.57,166175.2,356805.77,,51500,408305.77,458305.77,404767.6,1542.12,,406309.72,,51996.05,406763.65,404767.6,
"SIMMONS, DOANITA MRS",H,MO,CON,CHALLENGER,,75,2588,,,2663,2663,1864,,,1864,,733,2663,1864,
"SIMMONS, THOMAS T",H,MA,LIB,CHALLENGER,7570,200,7770,4500,,12270,17850,16641.88,,,16641.88,,1208.12,12270,16641.88,
"SIMON, FRED J JR MD",H,CA,REP,CHALLENGER,,,,,,517.93,517.93,790.44,,,790.44,272.51,,517.93,790.44,
"SIMPSON, CORY",H,WV,DEM,CHALLENGER,114276,15085.63,129361.63,5000,53500,187861.63,237966.88,224396.88,13290,280,237966.88,,,174571.63,224291.63,
"SIMPSON, MICHAEL",H,ID,REP,INCUMBENT,241109.61,22506.99,263616.6,,711346.51,974963.11,974963.11,506848.06,2000,2000,872698.06,70310.12,172575.17,972963.11,506848.06,Y
"SIMS, BRIAN KENDALL",H,PA,DEM,CHALLENGER,160473,107942.3,268415.3,,1000,269415.3,269542.45,193061.45,9781,66700,269542.45,,,259634.3,193061.45,
"SIMS, KALEB",H,TX,REP,CHALLENGER,21662,5760,27422,,,27422,27622,27622,,,27622,,,27422,27622,
"SINEMA, KYRSTEN",H,AZ,DEM,INCUMBENT,1822603.25,265264.41,2087867.66,5014.93,1762634.06,3855516.65,4135490.59,2298279.95,38360.03,,2336639.98,303114.76,2101965.37,3817156.62,2129141.03,Y
"SINGER, ALEX CHANNING",H,NV,DEM,OPEN,500,4364.97,4864.97,,,4864.97,4864.97,3559.88,,,3559.88,,878.24,4864.97,3559.88,
"SINGLETON, MONROE PIERCE",P,US,OTH,OPEN,,,,,,,,,,,,,,,,
"SIRES, ALBIO",H,NJ,DEM,INCUMBENT,175012.2,1200.57,176212.77,,318897.29,495110.06,495684.34,342832.39,2000,42500,387332.39,237536.69,345888.64,493110.06,342832.39,Y
"SITTENFELD, P G",S,OH,DEM,CHALLENGER,1439140,172806,1611948,,6000,1641056,1657528,1365295,281730,500,1657528,,,1359327,1358824,
"SKOLD, ALIDA",H,WA,DEM,CHALLENGER,3250,1630.26,4880.26,,1000,5880.26,5880.26,32256.5,,,32256.5,,-26376.24,5880.26,32256.5,
"SKOLNICK, SHELTON",H,MD,REP,OPEN,200,,200,,,1200,1200,765,,,765,,434,1200,765,
"SLATTERY, WILLIAM",H,WI,DEM,CHALLENGER,9245,,,,,9245,39245,35814,,,39244,,,9245,35814,
"SLAUGHTER, LOUISE M",H,NY,DEM,INCUMBENT,466166.86,182061.08,648227.94,,682857.36,1331085.3,1331799.21,1272333.51,4213.59,18325,1294872.1,340343.47,377270.58,1326871.71,1271619.6,Y
"SLAVENS, JOHN CALVIN",H,TX,REP,CHALLENGER,28591.62,30,28621.62,,,73918.58,73918.58,73918.58,,,73918.58,,,73918.58,73918.58,
"SMIGIEL, SR., MICHAEL D. MR.",H,MD,REP,CHALLENGER,21512.47,9008.67,30521.14,,,32096.53,32096.53,32151.76,,50,32201.76,,,32096.53,32151.76,
"SMITH , JOHN (BIG JOHN)",H,TN,REP,CHALLENGER,5195,,5195,,,8111,10611,10510,,,10510,,100,5201,10510,
"SMITH, ADRIAN",H,NE,REP,INCUMBENT,200125,28073.5,228198.5,,874707.99,1102906.49,1112022.96,380784.34,2750,336900,720434.34,784439.23,1176027.85,1100156.49,374495.25,Y
"SMITH, ANDE",H,ME,REP,CHALLENGER,116254.74,18210.31,134465.05,,,155420.51,155420.51,115914.88,8350,,124264.88,,31155.63,147070.51,115914.88,
"SMITH, CHRISTOPHER H",H,NJ,REP,INCUMBENT,239706.62,89022.92,328729.54,510,202473.78,531713.32,532901.5,370145.34,2975,77190,450310.34,208995.79,291586.95,528738.32,370145.34,Y
"SMITH, D ADAM",H,WA,DEM,INCUMBENT,237217,20751.93,257968.93,,567500,825468.93,829791.46,829274.73,1750,219592.68,1050617.41,579496.88,358670.93,823718.93,827743.66,Y
"SMITH, DARIN DALE",H,WY,REP,OPEN,42470,5996,48466,,,50966,94072,93539.17,,,93539.17,,532.83,50966,93233.17,
"SMITH, DELLA JEAN",S,KS,REP,CHALLENGER,,,,,,,1820,1865,,,1865,56,9,,1860,
"SMITH, DOUGLAS MARK JR",H,MI,DEM,CHALLENGER,3040,3859,6899,,13000,19899,19899,15998.5,,77.23,16075.73,,3823.27,19899,15998.5,
"SMITH, GEOFFERY SUHMER",H,TN,REP,CHALLENGER,5550,669.58,6219.58,,,7812.86,7812.86,7688.82,,,7688.82,,124.04,7812.86,7688.82,
"SMITH, JASON T",H,MO,UNK,INCUMBENT,477737.73,36534,514271.73,1609,1042545.19,1558425.92,1591115.9,967830.01,1000,175689.32,1165519.33,146192.58,571789.15,1557425.92,965644.5,Y
"SMITH, JESSE TREMAIN",H,AL,DEM,CHALLENGER,3411,6267,9678,,,9678,9678,6818,,,6818,,482,9678,6818,
"SMITH, LAMAR",H,TX,REP,INCUMBENT,673790,37319.93,711109.93,,764231.4,1475341.33,1511193.21,1568174.86,19600,106563,1694337.86,764753.05,581608.4,1455741.33,1533957.21,Y
"SMITH, RYAN",P,US,IDP,OPEN,,,,,,,,,,,,,,,,
"SMITH, SCOTT A",H,NY,NNE,CHALLENGER,,,,,,,,,,,,161,161,,,
"SMITH, WILLIAM ROGER",P,US,IND,OPEN,,,,,,264,686,,,,3,,25,,790,
"SMUCKER, LLOYD K",H,PA,REP,OPEN,472326.34,14137,486463.34,,395073,881536.34,1532343.61,1200650.5,600,350,1437391.72,,94951.89,880936.34,1199537.3,Y
"SNOW, MISTY K",S,UT,DEM,CHALLENGER,24425,36444,60869,1000,577,63646,64146,48869,,1293,50162,115,14167,63646,48369,
"SNYDER, STACY RIES",H,TN,REP,CHALLENGER,47530,4126,51656,,1000,52656,57720.63,42118.54,,,42118.54,,15602.09,52656,42118.54,
"SOLEN, RYAN ASHER",H,WI,DEM,CHALLENGER,3600,12289.61,15889.61,1600,,17602.52,17602.57,10180.13,,,10180.13,,7422.44,17602.52,10180.13,
"SOL-GUTIERREZ, ANA",H,MD,DEM,OPEN,105104.25,32507.97,137612.22,,7282.55,144894.77,240675.09,132867.17,3275,,240642.17,,32.92,141619.77,131706.07,
"SONNEK-SCHMELZ, BRENT J",H,NJ,REP,CHALLENGER,59225.86,7189.54,66415.4,,840,67284.4,67284.4,60860.12,9.95,,60870.07,,6414.33,67274.45,60860.12,
"SOOD, AJAY",P,US,IND,OPEN,537,,,,,537,10347,10189,,,10189,,158,537,10189,
"SOTO, DARREN",H,FL,DEM,OPEN,601984.97,46705.91,648690.88,,413928.66,1067119.54,1077369.54,971728.89,9400,2920,994048.89,,83320.65,1057719.54,971478.89,Y
"SOULES, MERRIE LEE MS.",H,NM,DEM,CHALLENGER,132703.67,40221.22,172924.89,,5000,177924.89,333924.89,276223.49,100,,276323.49,6169.51,8228.03,177824.89,276223.49,
"SPAIN, PAUL DOUGLAS MR.",H,FL,REP,OPEN,2075,2300.68,4375.68,,,4375.68,49321.75,20810.96,,300,21110.96,70.42,28281.21,4375.68,20810.96,
"SPALDING, CARLA ARLENE",H,FL,IND,OPEN,11127.5,3872,14999.5,,,16907.16,26543.53,23341.64,1500,1500,26341.64,,201.89,15407.16,22701.64,
"SPAMPINATO, FRANCIS CESIDIO",H,NY,REP,CHALLENGER,250,450,700,,,700,73700,37136.38,,615,37751.38,,431.68,700,37136.38,
"SPARKS, DANIEL HUDSON",H,MS,UNK,CHALLENGER,16900,1583,18483,,,18483,27100.28,15977.04,,,15977.04,,11123.24,18483,15977.04,
"SPECHT, STEVEN K.",H,FL,DEM,OPEN,34144.06,11163.48,45307.54,572.6,,45880.14,55666.27,45867.27,,,45967.27,,9699,45880.14,45867.27,
"SPEIER, JACKIE",H,CA,DEM,INCUMBENT,470345.73,18644.08,488989.81,32.13,334004.7,823026.64,828328.53,378060.25,500,198234.51,576794.76,1277243.56,1528777.33,822526.64,378056.62,Y
"SPENCER, LYDLE RAY",H,MO,REP,CHALLENGER,2137.85,700,2837.85,,,2837.85,2837.85,,,,3189.78,501.31,149.38,2837.85,3189.78,
"SPONHEIM, DAVID JON",P,US,OTH,OPEN,150,137,,,,287,334,345,,11,525,3448,3256,,,
"SPOTORNO, FRANK",H,NY,REP,CHALLENGER,7950,800,8750,150,,10400,139424.1,83369.66,,,83369.66,,56054.2,10400,83145.56,
"SPOTORNO, FRANK",S,NY,REP,CHALLENGER,7950,800,8750,150,,10400,139424.1,83369.66,,,83369.66,,56054.2,10400,83145.56,
"SPURLINO, JIM",H,OH,REP,OPEN,110600,2305,112905,,35500,151006.68,351006.68,340956.68,10050,,351006.68,,,140956.68,340956.68,
"ST LOUIS LAROSE, VALENCIA",H,FL,DEM,OPEN,,,,,,,,,,,,,,,,
"ST LOUIS LAROSE, VALENCIA",H,FL,DEM,OPEN,,,,,,,,,,,,,,,,
"STAINFIELD, TAMI L",P,US,NNE,OPEN,,,,,,,1.2,1437.22,,,1437.22,4413.35,2977.33,25025,22065.98,
"STALEY, VIOLET SCHERYL",S,MD,DEM,OPEN,250,,460,,,7302,7502,11952,,,11952,5500,,6410,5700,
"STANTON, PAUL ANTHONY",S,FL,LIB,CHALLENGER,11650,4119,15769,3201,,19730,24292,18956,1000,,19956,,4336,18730,18893,
"STAPLEY, DONALD T",H,AZ,REP,OPEN,248002,11690,259692,,3000,262692,512692.28,501948.7,8100,,512692.28,,,254592,501948.7,
"STARR, MICHAEL BOB",H,TX,REP,OPEN,235821.98,8084.69,243906.67,,5000,248906.67,274319.86,262524.22,5500,,274319.86,,,243406.67,262111.03,
"STARRETT, GRANT",H,TN,REP,CHALLENGER,768512.94,51656.91,820169.85,,5000,825169.85,1705122.48,1577437.14,119235,,1696672.14,,8450.34,705934.85,1574046.61,
"STEELE, VICTORIA L",H,AZ,DEM,CHALLENGER,143893.86,86225.58,230119.44,,7500,239356.04,246741.68,214216.78,1100,280,219452.46,,28263.45,238256.04,210686.82,
"STEF, MEL",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"STEFANIK, ELISE M.",H,NY,REP,INCUMBENT,1120057.7,153037.2,1273094.9,,1365194.95,2638289.85,2964198.68,2216805.14,11618.3,1900,2233323.44,22557.71,753432.95,2626671.55,2209139.96,Y
"STEIN, JILL",P,US,GRE,OPEN,1013641,2002267,3015906.23,,,3015906.23,3528594.15,3430119.98,2465,250,3470291.04,,58303.11,12561544.57,13450374.82,
"STEINBERG, MICHAEL ALAN",P,US,DEM,OPEN,6256,,6256.18,,,6765.68,6765.68,6756.18,,,6756.18,,,6765.68,6756.18,
"STELLA, DOMINICK J. M.D.",H,IL,REP,CHALLENGER,14550,2244.5,16794.5,,,16794.5,188763.7,187687.36,,,187687.36,,1076.34,16794.5,187687.36,
"STERN, EVERETT ALEXANDER",S,PA,IND,CHALLENGER,500,,500,,,21600,52600,52600,,,52600,,,21600,52600,
"STERN, STEVEN",H,NY,DEM,OPEN,562070.68,14826.31,576896.99,,15000,645896.99,836633.81,707528.41,120350,2150,836633.81,,,525546.99,707304.16,
"STEVENS, CEAN",S,AK,LIB,CHALLENGER,4500,2305,6805,,,6805,16877,16189,,,16189,,687,6805,16114,
"STEVENS, WILLIAM MARK",H,CT,REP,CHALLENGER,1300,,,,,7000,7000,7278,,,7278,493,278,,7278,
"STEWART, CHRIS",H,UT,REP,INCUMBENT,306142.22,33497.21,339639.43,,493919.97,833559.4,834130.99,709665.87,7300,20000,746965.87,131432.23,218597.35,826259.4,709400.12,Y
"STEWART, FAYE",S,OR,REP,CHALLENGER,117250,4090,121340,,,121340,121340,121338,,,121338,,,121340,121338,
"STINE, KEVIN ",S,OR,DEM,CHALLENGER,4910,824,5735,,,5735,8735,6436,,,8733,,,5735,6436,
"STINSON, BILL",H,FL,NPA,CHALLENGER,7400,,7400,,,20500,20500,13970,,,13970,,7530,20500,13970,
"STIVERS, STEVE MR.",H,OH,REP,INCUMBENT,939590.3,13680.6,953270.9,,1780723.24,2733994.14,2774660.69,1473168.4,13850,420648.51,1907666.91,933142.72,1800136.5,2720144.14,1471614.16,Y
"STOCK, MARGARET",S,AK,IND,CHALLENGER,429480,148866,578347,,4650,665913,667934,586064,2602,21500,610167,,57766,663310,585594,
"STOKES, STEVE",S,CA,DEM,OPEN,700,11978,12678,,,12678,14332,7738.2,,,12455.2,249.91,2126,12678,7738.2,
"STOKHAM, CHARLES WESLEY (CASPER)",H,CO,REP,CHALLENGER,29124,19558.93,48682.93,6450,1375,56507.93,56623.73,49053.41,60,,49113.41,,7510.32,56447.93,48937.61,
"STONE, JEFFREY E",H,CA,REP,CHALLENGER,248786.44,15240,264026.44,,77498,341524.44,341524.44,283798.77,,,283798.77,,57725.67,341524.44,283798.77,
"STOVALL, DWAYNE",H,TX,REP,CHALLENGER,5600,1220,6820,,,6820,6820,3463.97,3200,,6663.97,,,3620,3463.97,
"STRAIT, TERENCE MICHAEL MR JR",H,MD,DEM,OPEN,,862.73,862.73,,,8495.11,9668.02,5450.51,,1172.91,6623.42,17.6,1382.71,8495.11,5450.51,
"STRANO TAYLOR, KERITH",H,PA,DEM,CHALLENGER,67348.08,31653.53,99001.61,,2000,101148.61,101148.61,77314.34,,,77314.34,4864.82,28699.09,101148.61,77314.34,
"STRAUSS, RAYMOND JOHN",H,AZ,REP,CHALLENGER,93660,8263.14,101923.14,,5750,110978.2,111269.03,110269.03,1000,,111269.03,,,109978.2,109978.2,
"STRAW, ANDREW",H,IL,REP,OPEN,,5,5,,,357.61,4066.91,4066.91,,,4066.91,,,357.61,357.61,
"STRICKLAND, TED",S,OH,DEM,CHALLENGER,5904566,2619003,8523574,57300,891111,9474887,10270122,9550606,117803,3050,9671463,,598658,9357081,9534643,
"STUARD, GARY",H,TX,GRE,CHALLENGER,250,1978.57,2228.57,500,,2728.57,2728.57,1649.91,,498.45,2148.36,,580.21,2728.57,1649.91,
"STUBSON, TIMOTHY MICHAEL",H,WY,REP,OPEN,157940.13,26266,184206.13,,9500,193826.13,269226.13,263339.4,,,269226.13,,,193826.13,263339.4,
"STURGILL, JERRY",S,ID,DEM,CHALLENGER,361827,39750,401578,1350,10250,431278,728390,463807,650,,464457,,263931,430628,463807,
"STUTZMAN, MARLIN A",S,IN,REP,OPEN,1860172,198743,2058918,1170,323737,2383825,2439394,2598521.62,306794,2125,2907440.62,469796.12,469,2077032,2580541.62,
"SUBICK, JULIAN",H,PA,IND,CHALLENGER,1308.91,1100,2408.91,,,2433.91,2433.91,2028.89,,,2028.89,,405.02,2433.91,2028.89,
"SUKHIA, KEN",H,FL,REP,OPEN,81410.5,9492.8,90903.3,,,90903.3,206903.3,206903.3,,,206903.3,,,90903.3,206903.3,
"SUMMERELL, JOSEPH JOHN MR.",H,NC,LIB,CHALLENGER,12016,3555,15571,,,18411.64,18411.64,18062.46,,,18062.46,,349.18,18411.64,18062.46,
"SUNDHEIM, GEORGE 'DUF'",S,CA,REP,OPEN,407908,24381,432289,,21499,762204,1002704,687028,75700,,1002702,,,686504,686503,
"SUOZZI, THOMAS",H,NY,DEM,OPEN,1768679.5,57735.31,1826414.81,1000,257700,2085114.81,2100279.34,1767565.81,3500,,1771065.81,,329213.53,2081614.81,1765203.91,Y
"SUTHERLAND, ROBERT J",H,WA,REP,CHALLENGER,10503.43,9543.45,20046.88,,200,21287.18,21807.18,16942.61,,,17819.61,362,4349.57,21287.18,16942.61,
"SWALWELL, ERIC MICHAEL",H,CA,DEM,INCUMBENT,980122.43,86577.7,1066700.13,32.14,744172.37,1810904.64,1838648.18,985428.89,22335,243085,1251098.89,397504.81,985054.1,1788569.64,960410.84,Y
"SWANSON, KARIN LYNN",P,US,DEM,OPEN,,,,,,1330,1330,1335,0.8,,1335,91,86,1330,1267,
"SWEENEY, MIKE",H,TX,REP,CHALLENGER,2500,2614.8,5114.8,,,5114.8,10414.8,10096.2,,,10096.2,500,818.6,5114.8,10096.2,
"SWEETEN, RANCE G RANDY""""",H,TX,DEM,OPEN,58973.12,,58973.12,,,58973.12,117148.79,94623.77,,3125,121000.99,,171.03,58973.12,94623.77,
